initial,algorithm,heuristic,bound,final,explored,time
200060000007004000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,29.831405
200060000007004000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,26.860118000000003
200060000007004000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,40.156428
9000700000800010000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,23.956788000000003
9000700000800010000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,21.45549299999999
9000700000800010000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,36.45325299999999
406010000020000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,26.073293000000007
406010000020000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,22.795262999999977
406010000020000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,37.882903
189003400030200000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,28.480816000000004
189003400030200000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.837358999999992
189003400030200000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,39.623902000000044
50930000000042000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,27.377454999999998
50930000000042000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,24.34915699999999
50930000000042000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,37.985765000000015
604030005003089000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,28.51644699999997
604030005003089000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.66697099999999
604030005003089000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,38.442612999999994
39010000000073100000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,26.65918499999998
39010000000073100000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.148007000000007
39010000000073100000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,38.344822999999906
840000001070000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,28.755138000000102
840000001070000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,24.591320999999994
840000001070000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,38.423116999999934
4100060061000060000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,28.309038999999984
4100060061000060000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,24.417456000000016
4100060061000060000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,38.21900100000005
80701000001000100000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,26.653977000000054
80701000001000100000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,24.77073500000006
80701000001000100000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,36.30947100000003
8070000000100300000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,28.84466800000007
8070000000100300000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.766850999999974
8070000000100300000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,39.481510999999955
85040900000000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,28.008159999999975
85040900000000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,24.194704
85040900000000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,38.00581199999988
80060024005102000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,27.429656999999906
80060024005102000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,24.330287999999882
80060024005102000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,36.03901900000005
70710000200800600000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,24.24540500000012
70710000200800600000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,23.700963
70710000200800600000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,36.79613900000004
904000094006020000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,34.47169000000008
904000094006020000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,28.403606999999965
904000094006020000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,42.00691000000006
1600400080003050000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,24.32919199999992
1600400080003050000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,21.67872299999999
1600400080003050000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,34.948303000000124
20070108000800000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,26.023017999999865
20070108000800000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.61238900000012
20070108000800000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,37.905546000000186
50000650090000400000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,27.95916699999998
50000650090000400000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,26.29042800000002
50000650090000400000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,39.30528400000003
200080070008002000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,30.360582999999906
200080070008002000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,26.821537000000035
200080070008002000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,38.74484800000005
900700500000600000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,26.851037000000133
900700500000600000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,23.205327000000125
900700500000600000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,35.590480999999954
6001007102005060000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,27.20550400000002
6001007102005060000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.806261999999833
6001007102005060000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,38.34833600000002
2000800000500030000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.089580999999953
2000800000500030000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,23.29081700000006
2000800000500030000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,37.30154999999991
603020050080000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,26.82862299999988
603020050080000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.52883399999996
603020050080000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,38.30758700000001
900034700000000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,27.032708000000184
900034700000000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,23.025441000000228
900034700000000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,37.48462699999982
900105000050000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,24.59476399999994
900105000050000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,24.150692000000163
900105000050000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,37.234977999999956
90200000400030100000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,30.356148000000303
90200000400030100000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.872080000000096
90200000400030100000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,39.130619000000024
100000009070615000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,28.600652000000082
100000009070615000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,27.40489099999968
100000009070615000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,38.4732140000001
800740200009000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.40650599999981
800740200009000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,23.270416000000296
800740200009000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,36.896569
3008095500001000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,27.530627000000095
3008095500001000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,24.04406700000027
3008095500001000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,37.795440000000326
72090060900199900000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,26.42360800000006
72090060900199900000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,22.436341000000084
72090060900199900000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,37.681332999999995
60001009003070000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.37861900000007
60001009003070000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,21.996459999999843
60001009003070000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,37.28409599999986
3205006005000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.09319000000005
3205006005000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,23.583943999999974
3205006005000000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,36.68826900000022
80009502900000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,29.567279999999755
80009502900000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,26.08561200000031
80009502900000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,40.997507999999925
500008090020041000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,24.707220999999663
500008090020041000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,22.99567500000012
500008090020041000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,35.52733799999987
50010007401000900000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,26.226568000000043
50010007401000900000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,23.012514999999894
50010007401000900000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,38.97239100000024
9040050040290710000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,29.370180000000346
9040050040290710000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.945330999999896
9040050040290710000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,39.025490999999874
400010000000540000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,27.145850999999766
400010000000540000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,23.012382999999772
400010000000540000000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,37.45900500000016
900000012000009000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,29.879501999999775
900000012000009000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,26.38980700000002
900000012000009000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,40.857320999999956
20000071050009200000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,27.043293000000176
20000071050009200000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.092711000000236
20000071050009200000000000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,36.68340100000023
1030960000000010000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,27.828493999999864
1030960000000010000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,25.768090999999913
1030960000000010000000000000000000000000000000000000000000000000000000000,depth_first_graph_search,,10000,,10001,38.91574900000023
