initial,algorithm,heuristic,bound,final,score,explored,time
135125324462346751789789698123273125495814346678956789123123123647458457589679689,hill_climbing,,,135125374264346951789789628123293125495817346678456789143123127627458453589679689,-12,227,0.22018000000000004
123128197469734345758569682138216172456394453792857689162561345345748627789923819,hill_climbing,,,123128197569734345748569682138296172456314453792857689162561345345748627789923819,-20,82,0.07937699999999914
256123136371456792489789458135142123467653459829987678123132145645475287789689963,hill_climbing,,,256123136371456792489789458135142123467693459829587678123132145645475287789689963,-17,64,0.05867399999999989
153234184246567293789189567812935152345612734679784689124231125536458347789679689,hill_climbing,,,153234148246567293789189567812935152345612734679784986124321125936458347785679689,-11,114,0.11344400000000032
721123156365456243849879789125213123346746567789958489234851312516234475789679968,hill_climbing,,,421123156375456243869879789152263123346941567789758489234581912516234475789679368,-13,187,0.1855740000000008
127123126459456435368789789182325192456471345793689678234137142756452678819689359,hill_climbing,,,127128124459456536368739789182345192456271345793689678234137146756452378819689259,-14,143,0.14468999999999976
239234217485571345671896968364513142572674635189829789142192123356453456879678789,hill_climbing,,,238234917495571345671896268364513142572674635189829789182192423356453156479678789,-15,89,0.09175600000000017
917123162234456345568798879152123143384578259679649678512231345463476678789895291,hill_climbing,,,917123162234456345568798879152123134384578259679649678512236345463471678789895291,-21,55,0.054835999999999885
123521123496346456578798879126124345734567789589398261162123128854467394379859756,hill_climbing,,,123591123496346456578728879127124365634567789589398241142123128856467394379859756,-17,104,0.10537900000000011
245163123136547458789892967712134612345257384689689795245513132916247756783896849,hill_climbing,,,245163123136527458789894967812734612345251384679689795245316137916247256783895849,-9,137,0.14193299999999986
831136123546452459729789678125129123346345547897678896123264178456378235789519649,hill_climbing,,,851136123642457459739289678527129123346345547891678896123264187456378235789519649,-12,218,0.21550000000000047
321123189456549234789678567123234364456567215789891879153123125246947367789658849,hill_climbing,,,328143198456529234719678567123234376456567415789891829163123125245947367789658849,-18,202,0.20063099999999956
321237123495456486678189795123123134458657526679498978481134157235256268679789934,hill_climbing,,,921237123435456486678189795123123134458657596679498278581134147234256268679789953,-19,105,0.10836100000000037
124234165576681234389975978823132572415684134679597689231356651456782234789419789,hill_climbing,,,124234165576681934389975278823142527415687134679593689231356651456782234789419789,-14,119,0.11935899999999933
351526812678348345429197679123312241658745573974689869142123631637456295589789487,hill_climbing,,,351526812678348345429197679123312246658745573974689819145123631637456295289789487,-18,85,0.08010199999999834
123123962674457345859896178861124173324735568579689249134132234568458571279679689,hill_climbing,,,123123962675457345849896178681124173324735568579689429134138234568452671279679589,-16,106,0.11036400000000057
126234713435678956789519428124237125753145394689698678912236127356475345847891689,hill_climbing,,,126234713435678956789519248124237125753185394689694678912536127356472345847891689,-11,96,0.09358699999999942
812342123345781456679596789234623148569415275178789639423127413567345756891689892,hill_climbing,,,712346123345781456689592789234623145569415278178789639423129713567345256891687894,-11,206,0.20240400000000136
812134239374569146569278587135234132264675945798891678126123123945475467738689895,hill_climbing,,,817134239324569746569278581135234192269671345748895678126123123945745467738689895,-16,151,0.15286000000000044
124128673358456451679739289124345123365162945789789867123213132465467456789895798,hill_climbing,,,124128673358456451679739289124345123365612945789789867123253139465467456789891728,-19,84,0.08371100000000098
123245162467678345589391789741123234253467516689895798342215912589678345671439678,hill_climbing,,,123345162467678357589291489741123234253467586689895791346215912589678345172439678,-15,144,0.1435859999999991
124126143356457256789893879251234214346569356789178789243961124518374567679825389,hill_climbing,,,124126143356457856789893279751234264346569351289178789243961124518372567679845389,-11,129,0.12616099999999975
812124126345365345769789789192345651736672234854189789213243812678567345945891697,hill_climbing,,,812124126345368345769759789192345561436672234857189789513243812678567945924891637,-11,129,0.13437399999999933
146234123758671567293598849123123924745567356689894718123168134546345572789972689,hill_climbing,,,164234123738679567592518849123123924745567356689894718153186234246345571789972689,-12,228,0.22342399999999962
123345283567617457489982691146234812759561934832789567345134213627589564189726789,hill_climbing,,,123645283567917457489382691156234912729561834834789567345137213617589564289426789,-9,244,0.2365440000000003
924123314356459256178678789182912456349347138567568279134132712568467435927958689,hill_climbing,,,924123314856459256371678789182912456349347128567568379134182712568467435927935689,-15,124,0.12486700000000006
132134162456562345798789798124962123563314756789578489816124713234569526597378894,hill_climbing,,,182134692456562341793789758124692123563314765789578489918124213234569576567873894,-15,234,0.24039699999999975
123312124945467536678589789471931612263245457895678893314812952678364346529579178,hill_climbing,,,123312124945467586678589739451931612263245457897678893314812952678364346529579178,-16,79,0.07644699999999993
891412213234357569675689478243712124617348657589596839612142243357567156849398879,hill_climbing,,,891412913234357562675689478243712124617348657589596839612149243357567156849238879,-16,79,0.0808750000000007
143293812256145345789678679123123374456457691897896582341253412578486356692719798,hill_climbing,,,143293812256145345789678679123123374456457961897896582341583412578426356692719798,-14,91,0.09017300000000006
125123123673574456489689789123123365465945147789678289234192821568345345719687796,hill_climbing,,,125123123673564456489789789123123563485945147769678289234192621568345395719687748,-20,136,0.133146
123812172456345468789679593417293314235451295689678678712513145345674672869289839,hill_climbing,,,123812152456345768789679493417293314235456925689178678712534145345671672869289839,-12,185,0.18418899999999994
493235145152746673678891928124217231536348459789569768142124134379657576856893982,hill_climbing,,,493235145251476673678891928124718236536342459789569718162124134379657586845893972,-9,237,0.2379649999999991
124123612567645543893789798125813142674426357839795896127139134345246567689578892,hill_climbing,,,124123612567645348893789795125813142674456357839792896127135934345246567689978821,-12,151,0.15224599999999988
124123712375456456689789389123193243784475567569286189192245132346678456758913789,hill_climbing,,,124123712375456456689789389173163243284479567569582189192245132346678456758931789,-17,104,0.10952399999999862
152136324347457517968289689231162724465347568789589139819124123263398475457567689,hill_climbing,,,192136324347457517568289689235162724461347568789589139819124123263893475457567689,-18,96,0.09507099999999902
132136123496425574785789689123912123578364546649578798456214819273567725891893346,hill_climbing,,,135136123496425574782789689123612123578394546649578798456214817273567925891893346,-14,92,0.09094799999999914
612497213834132456579586789432123192571945436869678758129218146345345352678679789,hill_climbing,,,612497213834132456579586789462123192571945436839678578129218164345345358678679729,-16,169,0.16400800000000082
134391512527285463869467789412163182356547345789829679324134857568567129719289436,hill_climbing,,,134391512527285463869467789412153182356647345789829679824134957563567124719289836,-13,128,0.12705900000000092
126123285357456341849789679134923412657451356829687789246514418731327567589689293,hill_climbing,,,126123235357456841849789679134923412657458356829617789246512418713347567589689293,-17,139,0.13583399999999912
